INSERT INTO PContent (productID, pColour, pMake, pModel, pYear, pMileage, pTransmission, pFuelType, pUrl) VALUES
(1,'green','Subaru','Minivan','2022','38247','automatic','hybrid','image.jpg'),
(2,'grey','Ford','Minivan','2017','105040','manual','gasoline','image.jpg'),
(3,'grey','Ford','Coupe','2015','181860','automatic','gasoline','image.jpg'),
(4,'black','Honda','SUV','2012','258336','manual','diesel','image.jpg'),
(5,'black','Toyota','Hatchback','2018','87206','manual','diesel','image.jpg'),
(6,'green','Audi','Coupe','2021','53204','automatic','gasoline','image.jpg'),
(7,'blue','Audi','Sedan','2012','247390','automatic','gasoline','image.jpg'),
(8,'green','Mazda','Sedan','2022','44466','manual','electric','image.jpg'),
(9,'red','Toyota','Coupe','2015','191120','manual','gasoline','image.jpg'),
(10,'green','Suzuki','SUV','2015','236020','automatic','hybrid','image.jpg'),
(11,'red','Fiat','SUV','2019','92916','automatic','electric','image.jpg'),
(12,'white','Toyota','Sedan','2021','64148','manual','electric','image.jpg'),
(13,'black','Volvo','Hatchback','2012','192179','manual','gasoline','image.jpg'),
(14,'red','BMW','SUV','2012','308516','automatic','gasoline','image.jpg'),
(15,'black','GM','SUV','2015','154710','manual','electric','image.jpg'),
(16,'green','Fiat','Minivan','2019','121272','automatic','hybrid','image.jpg'),
(17,'red','Toyota','Sedan','2015','230690','manual','diesel','image.jpg'),
(18,'green','GM','Wagon','2022','66678','manual','hybrid','image.jpg'),
(19,'black','Nissan','Coupe','2023','33360','automatic','hybrid','image.jpg'),
(20,'white','Honda','Wagon','2022','50913','automatic','gasoline','image.jpg'),
(21,'blue','Audi','Hatchback','2021','81408','manual','diesel','image.jpg'),
(22,'white','Mercedes','Coupe','2024','19510','manual','gasoline','image.jpg'),
(23,'green','Fiat','Wagon','2014','166485','automatic','diesel','image.jpg'),
(24,'black','Audi','SUV','2022','41313','manual','diesel','image.jpg'),
(25,'green','Subaru','SUV','2019','107814','manual','diesel','image.jpg'),
(26,'blue','Ford','Hatchback','2014','141504','manual','diesel','image.jpg'),
(27,'blue','Toyota','Sedan','2018','113736','automatic','electric','image.jpg'),
(28,'blue','Honda','Hatchback','2014','178574','automatic','diesel','image.jpg'),
(29,'white','Ford','Sedan','2024','23570','manual','gasoline','image.jpg'),
(30,'grey','Volvo','Wagon','2016','110700','automatic','hybrid','image.jpg'),
(31,'black','Nissan','Hatchback','2016','202050','automatic','hybrid','image.jpg'),
(32,'red','GM','Coupe','2015','162930','automatic','hybrid','image.jpg'),
(33,'blue','Mercedes','SUV','2015','236970','automatic','hybrid','image.jpg'),
(34,'white','BMW','SUV','2014','212641','manual','gasoline','image.jpg'),
(35,'white','Honda','SUV','2022','48234','automatic','hybrid','image.jpg'),
(36,'grey','Mazda','Sedan','2020','117255','automatic','diesel','image.jpg'),
(37,'green','Fiat','SUV','2013','196680','manual','diesel','image.jpg'),
(38,'white','Nissan','Wagon','2024','16413','manual','gasoline','image.jpg'),
(39,'red','GM','Coupe','2020','69335','automatic','diesel','image.jpg'),
(40,'black','Audi','Sedan','2014','167739','manual','diesel','image.jpg'),
(41,'black','Suzuki','Wagon','2021','49516','manual','diesel','image.jpg'),
(42,'red','Toyota','Wagon','2020','74185','automatic','electric','image.jpg'),
(43,'white','Volvo','Coupe','2014','164329','automatic','hybrid','image.jpg'),
(44,'black','Mazda','Sedan','2022','50448','manual','diesel','image.jpg'),
(45,'white','Nissan','Minivan','2023','35176','automatic','electric','image.jpg'),
(46,'black','Suzuki','Wagon','2023','35884','automatic','hybrid','image.jpg'),
(47,'blue','Suzuki','SUV','2014','193028','automatic','electric','image.jpg'),
(48,'black','Toyota','SUV','2014','227887','manual','hybrid','image.jpg'),
(49,'green','GM','Coupe','2018','133441','automatic','hybrid','image.jpg'),
(50,'blue','Subaru','Sedan','2022','46872','manual','electric','image.jpg'),
(51,'white','Toyota','Hatchback','2022','46938','automatic','diesel','image.jpg'),
(52,'grey','Toyota','Hatchback','2024','16662','automatic','electric','image.jpg'),
(53,'blue','GM','Wagon','2024','16786','manual','diesel','image.jpg'),
(54,'blue','Fiat','Minivan','2020','88775','manual','electric','image.jpg'),
(55,'red','Suzuki','Minivan','2024','21847','automatic','electric','image.jpg'),
(56,'black','GM','Coupe','2014','156123','automatic','electric','image.jpg'),
(57,'white','BMW','Coupe','2015','191540','manual','gasoline','image.jpg'),
(58,'black','Subaru','SUV','2021','68612','manual','diesel','image.jpg'),
(59,'blue','Nissan','Hatchback','2012','204399','automatic','gasoline','image.jpg'),
(60,'white','Mazda','Wagon','2019','112098','manual','hybrid','image.jpg'),
(61,'white','Volvo','SUV','2014','194689','automatic','electric','image.jpg'),
(62,'blue','Ford','Sedan','2019','111144','automatic','hybrid','image.jpg'),
(63,'green','Nissan','Hatchback','2022','66351','manual','gasoline','image.jpg'),
(64,'white','GM','Wagon','2013','160728','automatic','hybrid','image.jpg'),
(65,'white','Suzuki','SUV','2021','76808','automatic','gasoline','image.jpg'),
(66,'grey','Audi','Hatchback','2016','183258','manual','diesel','image.jpg'),
(67,'red','BMW','Hatchback','2017','173032','manual','diesel','image.jpg'),
(68,'blue','Suzuki','Coupe','2016','166050','automatic','gasoline','image.jpg'),
(69,'white','Fiat','Coupe','2024','15071','manual','diesel','image.jpg'),
(70,'grey','Suzuki','Sedan','2022','43356','manual','diesel','image.jpg'),
(71,'white','Ford','Sedan','2023','32556','automatic','hybrid','image.jpg'),
(72,'grey','Honda','Wagon','2022','67521','manual','hybrid','image.jpg'),
(73,'white','GM','SUV','2021','74540','automatic','electric','image.jpg'),
(74,'red','Volvo','Coupe','2022','62298','manual','hybrid','image.jpg'),
(75,'blue','Fiat','Sedan','2019','115824','automatic','diesel','image.jpg'),
(76,'green','Nissan','Wagon','2013','168768','automatic','diesel','image.jpg'),
(77,'grey','Honda','Minivan','2017','172128','automatic','gasoline','image.jpg'),
(78,'green','Subaru','Sedan','2015','130240','manual','hybrid','image.jpg'),
(79,'grey','BMW','Hatchback','2014','207427','automatic','gasoline','image.jpg'),
(80,'blue','Mercedes','SUV','2013','222180','manual','hybrid','image.jpg'),
(81,'blue','GM','Hatchback','2024','15764','manual','gasoline','image.jpg'),
(82,'white','Fiat','Wagon','2022','52254','manual','hybrid','image.jpg'),
(83,'red','Audi','Sedan','2024','19357','automatic','diesel','image.jpg'),
(84,'blue','Fiat','Coupe','2019','86532','automatic','diesel','image.jpg'),
(85,'white','Honda','Coupe','2019','90972','manual','diesel','image.jpg'),
(86,'red','Mazda','Sedan','2013','208140','manual','gasoline','image.jpg'),
(87,'white','Toyota','Coupe','2023','47190','manual','electric','image.jpg'),
(88,'red','Nissan','Minivan','2012','222157','manual','hybrid','image.jpg'),
(89,'black','Nissan','Sedan','2012','185146','automatic','diesel','image.jpg'),
(90,'grey','Subaru','Coupe','2023','31884','manual','gasoline','image.jpg'),
(91,'blue','Audi','Wagon','2023','34394','automatic','diesel','image.jpg'),
(92,'green','Nissan','Minivan','2023','45416','automatic','diesel','image.jpg'),
(93,'blue','Mazda','Minivan','2019','129180','manual','diesel','image.jpg'),
(94,'grey','BMW','SUV','2016','150768','automatic','gasoline','image.jpg'),
(95,'blue','BMW','Hatchback','2021','72820','manual','electric','image.jpg'),
(96,'grey','Nissan','Minivan','2023','29078','automatic','electric','image.jpg'),
(97,'blue','Honda','Hatchback','2019','113412','automatic','hybrid','image.jpg'),
(98,'grey','GM','Wagon','2013','240612','automatic','hybrid','image.jpg'),
(99,'white','GM','Hatchback','2018','125006','automatic','electric','image.jpg'),
(100,'green','Audi','Hatchback','2021','60092','automatic','diesel','image.jpg'),
(101,'green','Subaru','Minivan','2015','143680','manual','gasoline','image.jpg'),
(102,'blue','Honda','SUV','2013','240552','manual','electric','image.jpg'),
(103,'green','Nissan','Coupe','2021','64560','automatic','diesel','image.jpg'),
(104,'white','Audi','Coupe','2012','248846','automatic','electric','image.jpg'),
(105,'blue','Toyota','Sedan','2019','99318','automatic','diesel','image.jpg'),
(106,'white','Fiat','Coupe','2024','16750','manual','gasoline','image.jpg'),
(107,'white','Honda','Hatchback','2023','43652','manual','diesel','image.jpg'),
(108,'black','Honda','Sedan','2017','176048','manual','diesel','image.jpg'),
(109,'grey','Mazda','SUV','2020','84020','manual','hybrid','image.jpg'),
(110,'black','Ford','Minivan','2021','67944','manual','electric','image.jpg'),
(111,'grey','Volvo','Wagon','2016','179802','manual','electric','image.jpg'),
(112,'red','Audi','Coupe','2024','17236','manual','gasoline','image.jpg'),
(113,'white','GM','Wagon','2021','86108','automatic','electric','image.jpg'),
(114,'green','Suzuki','Hatchback','2024','18202','automatic','diesel','image.jpg'),
(115,'green','Honda','SUV','2018','118272','manual','gasoline','image.jpg'),
(116,'grey','Volvo','Hatchback','2013','280428','manual','hybrid','image.jpg'),
(117,'red','Audi','SUV','2019','112194','automatic','gasoline','image.jpg'),
(118,'red','Volvo','SUV','2017','124912','automatic','diesel','image.jpg'),
(119,'grey','Nissan','Hatchback','2021','69144','automatic','diesel','image.jpg'),
(120,'red','GM','Hatchback','2014','215589','automatic','diesel','image.jpg'),
(121,'red','Toyota','Coupe','2024','12232','manual','electric','image.jpg'),
(122,'green','Nissan','Wagon','2022','65595','automatic','gasoline','image.jpg'),
(123,'red','Nissan','SUV','2020','68245','manual','hybrid','image.jpg'),
(124,'grey','BMW','Minivan','2016','162162','automatic','diesel','image.jpg'),
(125,'white','BMW','Sedan','2022','70125','automatic','hybrid','image.jpg'),
(126,'red','Nissan','Wagon','2016','115515','automatic','electric','image.jpg'),
(127,'green','Subaru','Sedan','2017','98280','manual','diesel','image.jpg'),
(128,'green','GM','SUV','2023','32416','automatic','diesel','image.jpg'),
(129,'white','Nissan','Minivan','2018','99267','automatic','diesel','image.jpg'),
(130,'blue','Ford','Minivan','2018','145089','manual','diesel','image.jpg'),
(131,'green','Mazda','Sedan','2018','114912','manual','electric','image.jpg'),
(132,'black','Mazda','Coupe','2023','30366','manual','hybrid','image.jpg'),
(133,'grey','GM','Hatchback','2012','259064','automatic','electric','image.jpg'),
(134,'green','Audi','Sedan','2024','17675','manual','electric','image.jpg'),
(135,'grey','Mazda','Sedan','2016','113265','automatic','electric','image.jpg'),
(136,'green','Mazda','Hatchback','2015','163460','manual','hybrid','image.jpg'),
(137,'grey','Volvo','Hatchback','2015','215020','automatic','electric','image.jpg'),
(138,'black','Fiat','Coupe','2019','123246','manual','diesel','image.jpg'),
(139,'black','Volvo','Hatchback','2022','56505','automatic','gasoline','image.jpg'),
(140,'green','BMW','Hatchback','2022','70170','manual','gasoline','image.jpg'),
(141,'green','Subaru','Coupe','2024','16994','automatic','hybrid','image.jpg'),
(142,'grey','Mercedes','SUV','2020','79350','automatic','electric','image.jpg'),
(143,'green','Fiat','Wagon','2024','18148','manual','diesel','image.jpg'),
(144,'green','Subaru','Coupe','2019','91056','manual','diesel','image.jpg'),
(145,'black','Mazda','Wagon','2020','102230','manual','hybrid','image.jpg'),
(146,'red','Nissan','Minivan','2023','27442','manual','diesel','image.jpg'),
(147,'blue','Audi','Coupe','2021','60524','manual','electric','image.jpg'),
(148,'red','Volvo','Minivan','2018','138642','automatic','diesel','image.jpg'),
(149,'blue','Subaru','Hatchback','2019','91224','automatic','hybrid','image.jpg'),
(150,'black','Subaru','Wagon','2013','169284','manual','diesel','image.jpg'),
(151,'green','Nissan','Minivan','2019','116022','manual','diesel','image.jpg'),
(152,'grey','Mercedes','Hatchback','2019','94842','automatic','electric','image.jpg'),
(153,'black','Nissan','Hatchback','2020','77150','manual','gasoline','image.jpg'),
(154,'grey','Volvo','SUV','2013','261264','automatic','electric','image.jpg'),
(155,'red','Subaru','Coupe','2014','208703','automatic','electric','image.jpg'),
(156,'grey','Ford','Minivan','2013','236556','automatic','electric','image.jpg'),
(157,'green','Nissan','Hatchback','2024','13660','manual','hybrid','image.jpg'),
(158,'white','Ford','Wagon','2023','36580','automatic','diesel','image.jpg'),
(159,'blue','Nissan','Sedan','2019','87318','manual','hybrid','image.jpg'),
(160,'red','GM','Hatchback','2022','59028','automatic','diesel','image.jpg'),
(161,'black','Fiat','Wagon','2017','122872','automatic','gasoline','image.jpg'),
(162,'red','Volvo','Minivan','2022','50268','manual','gasoline','image.jpg'),
(163,'green','Volvo','SUV','2022','63540','manual','gasoline','image.jpg'),
(164,'grey','Subaru','SUV','2015','188400','automatic','gasoline','image.jpg'),
(165,'white','Honda','Hatchback','2012','191711','manual','gasoline','image.jpg'),
(166,'white','Audi','Sedan','2013','203988','automatic','electric','image.jpg'),
(167,'black','Suzuki','SUV','2012','289042','manual','gasoline','image.jpg'),
(168,'red','Honda','Hatchback','2012','197535','automatic','hybrid','image.jpg'),
(169,'green','Subaru','Coupe','2012','228254','manual','hybrid','image.jpg'),
(170,'green','Fiat','Sedan','2012','185744','automatic','hybrid','image.jpg'),
(171,'blue','Toyota','Sedan','2016','146988','manual','gasoline','image.jpg'),
