INSERT INTO Transactions (productID, sellerID, buyerID) VALUES
(4,5,29),
(12,21,25),
(15,9,22),
(17,16,17),
(19,15,19),
(21,5,11),
(23,25,16),
(34,14,13),
(37,9,19),
(39,7,19),
(43,28,23),
(44,7,10),
(51,18,19),
(52,12,6),
(53,13,26),
(54,22,8),
(63,16,8),
(64,15,27),
(65,27,21),
(71,14,29),
(73,24,21),
(75,9,6),
(77,15,22),
(81,17,27),
(86,21,18),
(91,18,9),
(96,23,8),
(99,27,19),
(100,7,29),
(101,27,12),
(102,16,15),
(103,8,26),
(104,10,13),
(108,12,10),
(109,6,30),
(111,13,16),
(113,24,20),
(115,26,13),
(116,17,24),
(124,14,24),
(128,6,11),
(130,12,5),
(134,21,23),
(137,13,10),
(141,17,10),
(144,7,24),
(147,23,30),
(149,19,7),
(151,18,29),
(153,28,7),
(154,19,6),
(156,14,7),
(159,30,19),
(160,19,14),
(162,12,29),
(163,13,29),
(171,10,28),
(177,7,28),
(180,5,21),
(181,25,15),
(183,19,13),
(185,18,10),
(186,11,17),
(188,19,26),
(191,26,28),
(193,10,15),
(194,23,6),
(195,30,5),
(198,6,15),
(199,29,16),
(204,29,17),
(207,29,10),
(208,25,17),
(209,21,28),
(210,11,23),
(214,9,11),
(219,30,12),
(220,24,13),
(221,15,21),
(222,19,7),
(226,9,8),
(231,24,21),
(232,30,19),
(233,18,19),
(240,20,24),
(244,15,25),
(247,6,21),
(250,19,27),
(252,23,6),
(254,19,22),
(258,6,17),
(262,15,24),
(267,14,12),
(268,15,11),
(269,14,29),
(271,30,7),
(272,21,24),
(275,22,9),
(276,19,24),
(277,24,12),
(279,19,13),
(280,18,29),
(283,13,15),
(287,9,13),
(289,15,24),
(296,16,29),
(299,17,14),
(301,11,24),
(304,15,8),
(305,30,19),
(310,17,12),
(313,5,17),
(315,10,19),
(316,11,19),
(317,13,27),
(323,16,9),
(326,21,5),
(328,28,5),
(329,22,26),
(330,8,9),
(334,26,21),
(335,20,30),
(336,13,28),
(342,10,6),
(343,30,17),
(346,18,14),
(352,17,7),
(354,27,6),
(357,8,27),
(358,20,8),
(361,27,20),
(367,10,22),
(368,30,22),
(369,13,5),
(370,18,24),
(375,13,26),
(379,12,14),
(383,11,23),
(386,30,16),
(388,30,12),
(389,20,30),
(390,12,7),
(391,18,21),
(393,13,12),
(394,30,24),
(395,22,21),
(397,6,9),
(401,5,7),
(405,26,14),
(406,9,23),
(409,24,14),
(420,24,13),
(423,23,13),
(424,5,10),
(427,19,10),
(428,19,9),
(432,9,29),
(436,15,29),
(437,18,27),
(443,11,15),
(445,27,10),
(447,13,6),
(450,11,19),
(452,26,12),
(458,11,8),
(460,28,9),
(462,5,26),
(463,20,30),
(465,5,26),
(467,21,17),
(468,7,10),
(472,15,6),
(475,11,23),
(476,16,23),
(477,8,30),
(478,13,7),
(479,17,22),
(480,28,26),
(482,28,21),
(492,19,8),
(493,20,25),
(494,25,17),
(498,18,14),
(499,10,6),
(501,28,18),
(506,8,6),
(507,11,27),
(508,20,13),
(513,21,26),
(515,18,15),
(516,11,27),
(518,13,10),
(520,26,18),
(522,16,29),
(525,15,25),
(526,6,21),
(528,11,13),
(529,9,16),
(533,14,16),
(536,30,9),
(537,12,22),
(538,17,24),
(544,12,10),
(548,15,14),
(549,12,13),
(552,6,17),
(554,9,10),
(556,6,12),
(559,24,13),
(560,14,30),
(562,24,14),
(565,9,26),
(566,6,29),
(567,24,16),
(568,5,10),
(575,13,30),
(576,9,18),
(580,25,21),
(581,20,13),
(585,21,19),
(587,22,19),
(591,10,17),
(593,30,6),
(595,24,6),
(596,18,28),
(599,10,23);
